Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
2021-01-08T23:00,0.406,0.710,2.694,3.097,109.43,28.600
2021-01-08T23:30,0.406,0.660,2.711,3.047,105.43,28.600
2021-01-09T00:00,0.450,0.900,2.808,3.354,98.43,28.550
2021-01-09T00:30,0.509,0.960,2.729,3.134,94.43,28.550
2021-01-09T01:00,0.625,1.160,2.906,3.539,104.43,28.550
2021-01-09T01:30,0.628,1.000,2.958,3.546,98.43,28.500
2021-01-09T02:00,0.608,1.010,3.037,3.492,90.43,28.450
2021-01-09T02:30,0.631,1.030,2.962,3.531,91.43,28.450
2021-01-09T03:00,0.756,1.520,3.072,3.184,111.43,28.450
2021-01-09T03:30,0.736,1.290,3.079,3.535,123.43,28.400
2021-01-09T04:00,0.668,1.180,3.259,3.535,112.43,28.250
2021-01-09T04:30,0.662,1.310,3.197,3.920,106.43,28.200
